,Census Tract,Total Population,ZIP,Longitude,Latitude
3574,6001444602,4014,94560,-122.0030673,37.5122564
3575,6023010800,4785,95551,-124.2233155,40.6530627
3576,6037406601,5269,91791,-117.9166732,34.055737
3577,6071009112,8744,92301,-117.4161754,34.5136022
3578,6067009900,3976,95690,-121.5387474,38.2710059
3579,6019004602,2555,93704,-119.8084855,36.8011471
3580,6071011002,1673,92407,-117.2142148,34.1980613
3581,6053014000,2637,93955,-121.848484,36.6152554
3582,6037269904,3902,90034,-118.411879,34.027809
3583,6075061100,4307,94111,-122.4040647,37.7955998
3584,6067006004,2319,95821,-121.3737088,38.6249563
3585,6097152802,6807,95403,-122.7356597,38.4651445
3586,6073013906,4701,91977,-117.0071856,32.7267911
3587,6081602000,7649,94080,-122.4203403,37.6678381
3588,6011000100,5183,95912,-122.0142763,39.003105
3589,6101050701,4358,95953,-121.653915,39.2827425
3590,6067009111,5539,95826,-121.3639394,38.5419331
3591,6037141304,2738,91403,-118.4526303,34.1509932
3592,6001433800,7369,94578,-122.123482,37.6988143
3593,6065046602,3712,92860,-117.5749825,33.912597
3594,6037431900,3828,91780,-118.060063,34.1103131
3595,6053011204,3190,93960,-121.2467936,36.3445599
